cell_id	evidence_tier	axis	tranche_id	estimator	family_route	dpar	effect_type	structure_provider	primary_evidence_id	primary_evidence_class	primary_run_id	primary_command	primary_replicates	n_evidence_rows	all_evidence_classes	has_interval_receipt	n_distinct_seeds	claim_boundary	next_gate
mc-0005	interval_feasible	model_surface	legacy-census	ML	beta	mu	ordinary_re_intercept	none	ev-mc-0005-ordinary-intercept-profile-low	contract_test	Lane B ordinary-intercept low-rung profile batch	Rscript tools/run-lane-b-ordinary-intercept-profile-gate.R --cell=<exact cell> --seed=20260728 --rung=low	One fixed-seed low-rung fixture; batch denominator 2 exact attempts (2 pass).	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named cell x direct intercept-SD target x frozen low-rung fixture at seed 20260728, using an exact retained unclamped tmbprofile receipt. This establishes computational interval feasibility only; coverage and calibration were not evaluated, and it does not establish in	Coverage/calibration and any broader-rung or formula claim require a separate pre-registered evidence arc.
mc-0007	interval_feasible	model_surface	legacy-census	ML	beta	mu	ordinary_re_slope	none	ev-mc-0007-ordinary-slope-profile-low	contract_test	Lane B ordinary-slope low-rung profile batch	Rscript tools/run-lane-b-ordinary-slope-profile-gate.R --cell=<exact cell> --seed=20260621 --rung=low	One fixed-seed low-rung fixture; batch denominator 7 exact attempts (6 pass, mc-0271 retained failure).	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named cell x direct slope-SD target x frozen low-rung fixture, using an exact retained unclamped tmbprofile receipt. This establishes computational interval feasibility only; it does not establish coverage, calibration, inference readiness, broader formula support, oth	Coverage/calibration and any broader-rung or formula claim require a separate pre-registered evidence arc.
mc-0012	interval_feasible	model_surface	legacy-census	ML	beta	mu	structured	animal	ev-mc-0012-q1-expanded-targetwise-profile-low	contract_test	Lane B q1-expanded targetwise retained profile batch	Rscript tools/promote-lane-b-q1-expanded-targetwise-profile-receipt.R --target-id=<exact target> --goal-authorized=lane-b-144-goal	One fixed-seed low-rung targetwise receipt in the retained twelve-target batch; failed siblings remain retained and non-promoted.	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named cell x direct target x frozen low-rung fixture with an exact retained unclamped tmbprofile receipt. No whole-formula, sibling-target, provider-wide, or family-wide claim follows from this one target receipt. Coverage, calibration, inference readiness, and public 	Coverage/calibration and any broader formula, provider, or sibling target claim require a separate pre-registered evidence arc.
mc-0059	interval_feasible	model_surface	legacy-census	ML	binomial	mu	ordinary_re_intercept	none	ev-mc-0059-ordinary-intercept-profile-low	contract_test	Lane B ordinary-intercept low-rung profile batch	Rscript tools/run-lane-b-ordinary-intercept-profile-gate.R --cell=<exact cell> --seed=20260728 --rung=low	One fixed-seed low-rung fixture; batch denominator 2 exact attempts (2 pass).	3	contract_test|legacy_model_evidence|model_recovery	yes	1	interval_feasible only for the named cell x direct intercept-SD target x frozen low-rung fixture at seed 20260728, using an exact retained unclamped tmbprofile receipt. This establishes computational interval feasibility only; coverage and calibration were not evaluated, and it does not establish in	Coverage/calibration and any broader-rung or formula claim require a separate pre-registered evidence arc.
mc-0083	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu1	structured	phylo	ev-mc-0083-phylo-q2-canonical-profile-low	contract_test	Lane B canonical phylo q2 retained profile batch	Rscript tools/run-lane-b-phylo-q2-canonical-profile-gate.R --cell=<exact cell> --seed=4 --rung=low --goal-authorized=lane-b-144-goal	One fixed-seed low-rung profile for each exact direct target (4/4 pass); ML and REML are retained as complete endpoint pairs, not an estimator comparison.	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for this named cell x direct q2 phylogenetic mu1/mu2 location-SD target x frozen low-rung estimator-specific fixture using an exact retained unclamped tmbprofile receipt and the retained dense-LSS K=12 non-covering control. Coverage, calibration, bias, replication, inference r	Coverage/calibration and any broader phylo/q2/provider/estimator claim require a separate pre-registered evidence arc.
mc-0084	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu2	structured	phylo	ev-mc-0084-phylo-q2-canonical-profile-low	contract_test	Lane B canonical phylo q2 retained profile batch	Rscript tools/run-lane-b-phylo-q2-canonical-profile-gate.R --cell=<exact cell> --seed=4 --rung=low --goal-authorized=lane-b-144-goal	One fixed-seed low-rung profile for each exact direct target (4/4 pass); ML and REML are retained as complete endpoint pairs, not an estimator comparison.	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for this named cell x direct q2 phylogenetic mu1/mu2 location-SD target x frozen low-rung estimator-specific fixture using an exact retained unclamped tmbprofile receipt and the retained dense-LSS K=12 non-covering control. Coverage, calibration, bias, replication, inference r	Coverage/calibration and any broader phylo/q2/provider/estimator claim require a separate pre-registered evidence arc.
mc-0089	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu1	structured	phylo	ev-mc-0089-q2plus-phylo-profile-low	contract_test	Lane B q2-plus phylo target-wise low-rung profile batch	Rscript tools/run-lane-b-q2plus-phylo-profile-gate.R --cell=<exact cell> --seed=823001 --rung=low --goal-authorized=lane-b-144-goal	One fixed-seed low-rung profile per exact target (2/2 pass).	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named cell x direct q2-plus phylogenetic mu1/mu2 intercept-SD target x frozen low-rung ML fixture using an exact retained unclamped tmbprofile receipt. Coverage, calibration, bias, sigma targets, correlations, q2-plus-wide support, other rungs, and inference readiness 	Coverage/calibration and any broader q2-plus/provider/estimator claim require a separate pre-registered evidence arc.
mc-0090	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	mu2	structured	phylo	ev-mc-0090-q2plus-phylo-profile-low	contract_test	Lane B q2-plus phylo target-wise low-rung profile batch	Rscript tools/run-lane-b-q2plus-phylo-profile-gate.R --cell=<exact cell> --seed=823001 --rung=low --goal-authorized=lane-b-144-goal	One fixed-seed low-rung profile per exact target (2/2 pass).	2	contract_test|legacy_model_evidence	yes	1	interval_feasible only for the named cell x direct q2-plus phylogenetic mu1/mu2 intercept-SD target x frozen low-rung ML fixture using an exact retained unclamped tmbprofile receipt. Coverage, calibration, bias, sigma targets, correlations, q2-plus-wide support, other rungs, and inference readiness 	Coverage/calibration and any broader q2-plus/provider/estimator claim require a separate pre-registered evidence arc.
mc-0091	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma1	structured	phylo	ev-mc-0091-q2plus-phylo-scale-profile-low	contract_test	Lane B q2-plus phylo scale targetwise profile batch	Rscript tools/run-lane-b-q2plus-phylo-scale-profile-gate.R --cell=<exact cell> --seed=823001 --rung=low	One fixed-seed profile for the exact sigma endpoint target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct sigma endpoint SD x frozen q2-plus phylogenetic fixture with one complete retained unclamped tmbprofile receipt. No mu, correlation, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader scale/provider claim require a separate evidence arc.
mc-0092	interval_feasible	model_surface	legacy-census	ML	biv_gaussian	sigma2	structured	phylo	ev-mc-0092-q2plus-phylo-scale-profile-low	contract_test	Lane B q2-plus phylo scale targetwise profile batch	Rscript tools/run-lane-b-q2plus-phylo-scale-profile-gate.R --cell=<exact cell> --seed=823001 --rung=low	One fixed-seed profile for the exact sigma endpoint target.	2	contract_test|legacy_model_evidence	yes	0	interval_feasible only for the named cell x direct sigma endpoint SD x frozen q2-plus phylogenetic fixture with one complete retained unclamped tmbprofile receipt. No mu, correlation, provider-wide, coverage, calibration, or inference-ready claim follows.	Coverage/calibration and every broader scale/provider claim require a separate evidence arc.
