"record_type"	"stage"	"fixture"	"engine"	"check"	"coefficient"	"expected"	"observed"	"status"	"detail"	"solver_status"	"solver_objective"	"max_residual"	"ray"	"t"	"direct_objective"	"compiled_objective"	"direct_delta"	"compiled_delta"	"retained_rows"	"design_columns"	"trials_sum"	"active_weight_sum"	"detector_outcome"	"detector_class"	"warnings"	"error"	"record_id"
"receipt"	"preflight"	"lane"	"harness"	"authorization"		"binomial_s0a3_only"	"binomial_s0a3_only"	"PASS"	"no hurdle; no S1; no package integration; no PR; no push; no merge"																		"s0a3-0001"
"receipt"	"preflight"	"runtime"	"R"	"versions"		"drmTMB=0.6.0;detectseparation=0.4.0;ROI=1.0.2;ROI.plugin.lpsolve=1.0.2;lpSolveAPI=5.5.2.0.17.15;brglm2=1.1.0;TMB=1.9.21"	"drmTMB=0.6.0;detectseparation=0.4.0;ROI=1.0.2;ROI.plugin.lpsolve=1.0.2;lpSolveAPI=5.5.2.0.17.15;brglm2=1.1.0;TMB=1.9.21"	"PASS"	"R=4.6.0; platform=aarch64-apple-darwin23"																		"s0a3-0002"
"gate"	"binomial-core"	"mu_overlap"	"base_qr"	"design_rank"		"full_rank"	"full_rank"	"PASS"	"rank=2; p=2"										"6"	"2"	"6"	"6"					"s0a3-0003"
"fit"	"binomial-core"	"mu_overlap"	"drmTMB_ML"	"coefficient"	"(Intercept)"		"0.000000000000000036950792562241366"	"RECORDED"	"convergence=0; message=relative convergence (4); objective=4.1588830833596715; max_gradient=0.000000000000000055511151231257827; pdHess=TRUE"										"6"	"2"	"6"	"6"					"s0a3-0004"
"fit"	"binomial-core"	"mu_overlap"	"drmTMB_ML"	"coefficient"	"x"		"0.000000000000000028549731614571176"	"RECORDED"	"convergence=0; message=relative convergence (4); objective=4.1588830833596715; max_gradient=0.000000000000000055511151231257827; pdHess=TRUE"										"6"	"2"	"6"	"6"					"s0a3-0005"
"fit"	"binomial-core"	"mu_overlap"	"glm"	"coefficient"	"(Intercept)"		"0.000000000000000036950792562241366"	"RECORDED"	"converged=TRUE; deviance= 8.317766166719343"										"6"	"2"	"6"	"6"					"s0a3-0006"
"fit"	"binomial-core"	"mu_overlap"	"glm"	"coefficient"	"x"		"0.000000000000000028549731614571176"	"RECORDED"	"converged=TRUE; deviance= 8.317766166719343"										"6"	"2"	"6"	"6"					"s0a3-0007"
"fit"	"binomial-core"	"mu_overlap"	"brglm2_mean_bias_reduction"	"coefficient"	"(Intercept)"		"-0.00000000000000012183209137001665"	"RECORDED"	"converged=TRUE; deviance=8.3177661667193448"										"6"	"2"	"6"	"6"					"s0a3-0008"
"fit"	"binomial-core"	"mu_overlap"	"brglm2_mean_bias_reduction"	"coefficient"	"x"		"-0.00000000000000022836343549218087"	"RECORDED"	"converged=TRUE; deviance=8.3177661667193448"										"6"	"2"	"6"	"6"					"s0a3-0009"
"gate"	"binomial-core"	"mu_overlap"	"drmTMB_vs_glm"	"overlap_coefficients"		"<=1e-6"	"0"	"PASS"																			"s0a3-0010"
"oracle"	"binomial-core"	"mu_overlap"	"ROI_lpsolve_cone"	"improving_cone"		"infeasible_certified"	"infeasible_certified"	"PASS"	"solution=(Intercept)=0;x=0; B_source=1,2,3,4,5,6; E_source=; max_abs_colsums=0; tau_B=0.00000001; tau_E=0.00000001; tau_c=0.00000001; certificate_resid_D=0; certificate_min_u=                 1; certificate_tau_D=0.00000001; message=1 | list(c(0, 0)) | list(c(1, 0, 0, 0, 0, 0, 0, 0, 0)) | list(objfrom = c(0, 0), objtill = c(1e+30, 1e+30)) | list(duals = c(0, 0, 0, 0, 0, 0, 0, 0), dualsfrom = c(-1e+30, -1e+30, -1e+30, -1e+30, -1e+30, -1e+30, 0, 0), dualstill = c(1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 0, 0)) | 0 | 0"	"0"	"0"	"                 1"							"6"	"2"							"s0a3-0011"
"oracle"	"binomial-core"	"mu_overlap"	"ROI_lpsolve_strict_margin"	"separation_class"		"none"	"none"	"PASS"	"delta=0; solution=0,0,0,0,0; message=1 | list(c(0, 0, 0, 0, 0)) | list(c(1, -0.5, -0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)) | list(objfrom = c(-1e+30, -1e+30, -1e+30, -1e+30, -1e+30), objtill = c(0, 0, 0, 0, 1e+30)) | list(duals = c(-0.5, -0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0), dualsfrom = c(0, 0, -1e+30, -1e+30, -1e+30, -1e+30, -1e+30, 0, -1e+30, 0, 0, -1e+30), dualstill = c(0, 0, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 0, 1e+30, 0, 0.5, 1e+30)) | 2 | 0"	"0"	"0"	"0"															"s0a3-0012"
"detector"	"binomial-core"	"mu_overlap"	"detectseparation"	"separation_class"		"none"	"none"	"PASS"															"FALSE"	"none"			"s0a3-0013"
"detector"	"binomial-core"	"mu_overlap"	"detectseparation"	"overlap_indicators"		"all_finite_zero"	"(Intercept)=0;x=0"	"PASS"																			"s0a3-0014"
"gate"	"objective-rays"	"mu_overlap"	"drmTMB_compiled"	"parameter_mapping"		"all_true"	"length=TRUE;free_names=TRUE;coefficient_names=TRUE;par_list_values=TRUE"	"PASS"																			"s0a3-0015"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"intercept_positive"	"0"	"4.1588830833596715"	"4.1588830833596715"	"0"	"0"									"s0a3-0016"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000000000088817841970012523"	"PASS"					"intercept_positive"	"0.5"	"4.3444619050806406"	"4.3444619050806397"	"0.18557882172096907"	"0.18557882172096818"									"s0a3-0017"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000000000088817841970012523"	"PASS"					"intercept_positive"	"1"	"4.8795701251093364"	"4.8795701251093373"	"0.72068704174966491"	"0.7206870417496658"									"s0a3-0018"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.0000000000000044408920985006262"	"PASS"					"intercept_positive"	"2"	"6.7615680662578308"	"6.7615680662578352"	"2.6026849828981593"	"2.6026849828981637"									"s0a3-0019"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.0000000000000017763568394002505"	"PASS"					"intercept_positive"	"4"	"12.108899567506858"	"12.108899567506857"	" 7.950016484147187"	"7.9500164841471852"									"s0a3-0020"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000000095212726591853425"	"PASS"					"intercept_positive"	"8"	"24.002012438238321"	"24.002012438237369"	"19.843129354878648"	"19.843129354877696"									"s0a3-0021"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000060730087625415763"	"PASS"					"intercept_positive"	"16"	"48.000000674603712"	"48.000000675211012"	"43.841117591244043"	"43.841117591851344"									"s0a3-0022"
"gate"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"ray_verdict"		"interior_minimum"	"compiled_delta_t1=0.7206870417496658; direct_delta_t1=0.72068704174966491"	"PASS"					"intercept_positive"														"s0a3-0023"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"intercept_negative"	"0"	"4.1588830833596715"	"4.1588830833596715"	"0"	"0"									"s0a3-0024"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"intercept_negative"	"0.5"	"4.3444619050806397"	"4.3444619050806397"	"0.18557882172096818"	"0.18557882172096818"									"s0a3-0025"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000000000088817841970012523"	"PASS"					"intercept_negative"	"1"	"4.8795701251093364"	"4.8795701251093373"	"0.72068704174966491"	"0.7206870417496658"									"s0a3-0026"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"intercept_negative"	"2"	"6.7615680662578352"	"6.7615680662578352"	"2.6026849828981637"	"2.6026849828981637"									"s0a3-0027"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"intercept_negative"	"4"	"12.108899567506857"	"12.108899567506857"	"7.9500164841471852"	"7.9500164841471852"									"s0a3-0028"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"intercept_negative"	"8"	"24.002012438237372"	"24.002012438237372"	"  19.8431293548777"	"  19.8431293548777"									"s0a3-0029"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"intercept_negative"	"16"	"48.000000675211012"	"48.000000675211012"	"43.841117591851344"	"43.841117591851344"									"s0a3-0030"
"gate"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"ray_verdict"		"interior_minimum"	"compiled_delta_t1=0.7206870417496658; direct_delta_t1=0.72068704174966491"	"PASS"					"intercept_negative"														"s0a3-0031"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"slope_positive"	"0"	"4.1588830833596715"	"4.1588830833596715"	"0"	"0"									"s0a3-0032"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"slope_positive"	"0.5"	"4.2826022978403175"	"4.2826022978403175"	"0.12371921448064604"	"0.12371921448064604"									"s0a3-0033"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"slope_positive"	"1"	" 4.639341111192782"	" 4.639341111192782"	"0.48045802783311053"	"0.48045802783311053"									"s0a3-0034"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.0000000000000017763568394002505"	"PASS"					"slope_positive"	"2"	"5.8940064052917798"	"5.8940064052917815"	"1.7351233219321083"	"1.7351233219321101"									"s0a3-0035"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.0000000000000017763568394002505"	"PASS"					"slope_positive"	"4"	"9.4588940727911304"	"9.4588940727911286"	"5.3000109894314589"	"5.3000109894314571"									"s0a3-0036"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000000031263880373444408"	"PASS"					"slope_positive"	"8"	"17.387635986611787"	"17.387635986611475"	"13.228752903252115"	"13.228752903251802"									"s0a3-0037"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000020243362541805254"	"PASS"					"slope_positive"	"16"	"33.386294811058129"	"33.386294811260562"	"29.227411727698456"	" 29.22741172790089"									"s0a3-0038"
"gate"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"ray_verdict"		"interior_minimum"	"compiled_delta_t1=0.48045802783311053; direct_delta_t1=0.48045802783311053"	"PASS"					"slope_positive"														"s0a3-0039"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"slope_negative"	"0"	"4.1588830833596715"	"4.1588830833596715"	"0"	"0"									"s0a3-0040"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"slope_negative"	"0.5"	"4.2826022978403175"	"4.2826022978403175"	"0.12371921448064604"	"0.12371921448064604"									"s0a3-0041"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"slope_negative"	"1"	" 4.639341111192782"	" 4.639341111192782"	"0.48045802783311053"	"0.48045802783311053"									"s0a3-0042"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.0000000000000017763568394002505"	"PASS"					"slope_negative"	"2"	"5.8940064052917798"	"5.8940064052917815"	"1.7351233219321083"	"1.7351233219321101"									"s0a3-0043"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0"	"PASS"					"slope_negative"	"4"	"9.4588940727911286"	"9.4588940727911286"	"5.3000109894314571"	"5.3000109894314571"									"s0a3-0044"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000000031619151741324458"	"PASS"					"slope_negative"	"8"	"17.387635986611791"	"17.387635986611475"	"13.228752903252119"	"13.228752903251802"									"s0a3-0045"
"objective"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"objective_delta"		"<=1e-8"	"0.00000000020243362541805254"	"PASS"					"slope_negative"	"16"	"33.386294811058129"	"33.386294811260562"	"29.227411727698456"	" 29.22741172790089"									"s0a3-0046"
"gate"	"objective-rays"	"mu_overlap"	"drmTMB_compiled_vs_direct"	"ray_verdict"		"interior_minimum"	"compiled_delta_t1=0.48045802783311053; direct_delta_t1=0.48045802783311053"	"PASS"					"slope_negative"														"s0a3-0047"
"gate"	"binomial-core"	"mu_complete_shifted_forced"	"base_qr"	"design_rank"		"full_rank"	"full_rank"	"PASS"	"rank=2; p=2"										"4"	"2"	"4"	"4"					"s0a3-0048"
"fit"	"binomial-core"	"mu_complete_shifted_forced"	"drmTMB_ML"	"coefficient"	"(Intercept)"		" -70.9046887032179"	"RECORDED"	"convergence=0; message=both X-convergence and relative convergence (5); objective=0.00000000010877397024622166; max_gradient=0.000000000054386984966280128; pdHess=TRUE"										"4"	"2"	"4"	"4"					"s0a3-0049"
"fit"	"binomial-core"	"mu_complete_shifted_forced"	"drmTMB_ML"	"coefficient"	"x"		"47.269792469446692"	"RECORDED"	"convergence=0; message=both X-convergence and relative convergence (5); objective=0.00000000010877397024622166; max_gradient=0.000000000054386984966280128; pdHess=TRUE"										"4"	"2"	"4"	"4"					"s0a3-0050"
"fit"	"binomial-core"	"mu_complete_shifted_forced"	"glm"	"coefficient"	"(Intercept)"		" -70.9046887032179"	"RECORDED"	"converged=TRUE; deviance=0.00000000021754864575859341"										"4"	"2"	"4"	"4"			"glm.fit: fitted probabilities numerically 0 or 1 occurred"		"s0a3-0051"
"fit"	"binomial-core"	"mu_complete_shifted_forced"	"glm"	"coefficient"	"x"		"47.269792469392307"	"RECORDED"	"converged=TRUE; deviance=0.00000000021754864575859341"										"4"	"2"	"4"	"4"			"glm.fit: fitted probabilities numerically 0 or 1 occurred"		"s0a3-0052"
"fit"	"binomial-core"	"mu_complete_shifted_forced"	"brglm2_mean_bias_reduction"	"coefficient"	"(Intercept)"		"-1.9648540174293276"	"RECORDED"	"converged=TRUE; deviance=2.1981711243080948"										"4"	"2"	"4"	"4"					"s0a3-0053"
"fit"	"binomial-core"	"mu_complete_shifted_forced"	"brglm2_mean_bias_reduction"	"coefficient"	"x"		"1.3099026782862184"	"RECORDED"	"converged=TRUE; deviance=2.1981711243080948"										"4"	"2"	"4"	"4"					"s0a3-0054"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"improving_cone"		"feasible"	"feasible"	"PASS"	"solution=(Intercept)=-0.24999999999999997;x=              0.25; B_source=1,2,3,4; E_source=; max_abs_colsums=                 4; tau_B=0.00000001; tau_E=0.00000001; tau_c=0.00000001; certificate_resid_D=NA; certificate_min_u=NA; certificate_tau_D=NA; message=1 | list(c(-0.25, 0.25)) | list(c(1, 0, 0, 0, 0, 0, 0, 0)) | list(objfrom = c(0, 0), objtill = c(1e+30, 1e+30)) | list(duals = c(0, 0, 0, 0, 0, 0, 0), dualsfrom = c(-1e+30, -0.25, -1e+30, -1e+30, 2.22044604925031e-16, -1e+30, -1e+30), dualstill = c(1e+30, 0.250000000000253, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30)) | 2 | 0"	"0"	"0"	"0.000000000000000027755575615628914"							"4"	"2"							"s0a3-0055"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_strict_margin"	"separation_class"		"complete"	"complete"	"PASS"	"delta=0.20000000000000007; solution=0,0.40000000000000002,0.60000000000000009,0,0.20000000000000007; message=1 | list(c(0, 0.4, 0.6, 0, 0.2)) | list(c(1, 0, -0.6, -0.4, 0, 0.2, -0.4, 0, 0, -0.4, 0)) | list(objfrom = c(-1e+30, -0.5, -0.333333333333333, -1e+30, 2.22044604925031e-16), objtill = c(0.4, 2, 3, 0.4, 1e+30)) | list(duals = c(0, -0.6, -0.4, 0, 0.2, -0.4, 0, 0, -0.4, 0), dualsfrom = c(-1e+30, -0.5, -0.333333333333333, -1e+30, 4.44089209850063e-16, -1e+30, -1e+30, -1e+30, -2, -1e+30), dualstill = c(1e+30, 0.333333333333333, 0.5, 1e+30, 1e+30, 0.5, 1e+30, 1e+30, 0.5, 1e+30)) | 4 | 0"	"0"	"0.20000000000000007"	"0.00000000000000011102230246251565"															"s0a3-0056"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"sign_negative"	"(Intercept)"	"feasible"	"feasible"	"PASS"	"solution=(Intercept)=-1.0000000000000002;x=0.49999999999974665; message=1 | list(c(-1, 0.499999999999747)) | list(c(1, 0, 0, 0, 0, 0, 0, 0, 0)) | list(objfrom = c(0, 0), objtill = c(1e+30, 1e+30)) | list(duals = c(0, 0, 0, 0, 0, 0, 0, 0), dualsfrom = c(-1e+30, -1e+30, -0.333333333332395, -1e+30, -1e+30, -1e+30, -1e+30, -1e+30), dualstill = c(1e+30, 1e+30, 1.00000000000051, 1e+30, 1e+30, -0.500000000000253, 1e+30, 1e+30)) | 3 | 0"	"0"	"0"	"0.00000000000050692783304384648"															"s0a3-0057"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"sign_zero"	"(Intercept)"	"unresolved"	"unresolved"	"PASS"	"solution=(Intercept)=                NA;x=                NA; message=0 | list(c(NA, NA)) | list(c(NA, NA, NA, NA, NA, NA))"	"1"																	"s0a3-0058"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"sign_positive"	"(Intercept)"	"unresolved"	"unresolved"	"PASS"	"solution=(Intercept)=                NA;x=                NA; message=0 | list(c(NA, NA)) | list(c(NA, NA, NA, NA, NA, NA))"	"1"																	"s0a3-0059"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"coefficient_sign_feasibility"	"(Intercept)"	"negative=TRUE;zero=FALSE;positive=FALSE"	"negative=TRUE;zero=FALSE;positive=FALSE"	"PASS"																			"s0a3-0060"
"oracle"	"binomial-core"	"mu_complete_shifted_forced"	"ROI_lpsolve_cone"	"sign_negative"	"x"	"unresolved"	"unresolved"	"PASS"	"solution=(Intercept)=                NA;x=                NA; message=0 | list(c(NA, NA)) | list(c(NA, NA, NA, NA, NA, NA))"	"1"																	"s0a3-0061"
